Date,Open,High,Low,Adj Close,Volume,Stock Name
25-09-2020,68.900002,69.870003,68.699997,69.287361,322700,DR.REDDY
28-09-2020,69.599998,69.599998,68.529999,68.70002,261500,DR.REDDY
29-09-2020,68.660004,68.889999,68.370003,68.341637,195500,DR.REDDY
30-09-2020,69.769997,70.239998,69.32,69.247543,398800,DR.REDDY
01-10-2020,69.330002,69.860001,69.18,69.456596,120800,DR.REDDY
02-10-2020,69.059998,69.800003,68.559998,68.998665,77400,DR.REDDY
05-10-2020,69.919998,70.75,69.760002,70.143501,296800,DR.REDDY
06-10-2020,69.760002,69.879997,69.040001,68.819473,263900,DR.REDDY
07-10-2020,69.059998,69.110001,68.57,68.341637,310300,DR.REDDY
08-10-2020,70.239998,70.82,70.120003,70.083771,176600,DR.REDDY
09-10-2020,70.059998,70.32,69.699997,69.715431,120100,DR.REDDY
12-10-2020,70.580002,71.300003,70.580002,70.45211,173700,DR.REDDY
13-10-2020,70.029999,70.510002,69.660004,69.725388,177200,DR.REDDY
14-10-2020,69.610001,69.900002,69.589996,69.496422,179700,DR.REDDY
15-10-2020,68.480003,68.760002,67.919998,68.013115,175200,DR.REDDY
16-10-2020,68.75,69.300003,68.589996,68.500916,98200,DR.REDDY
19-10-2020,68.760002,68.809998,67.849998,67.634827,153200,DR.REDDY
20-10-2020,68.330002,68.82,68.239998,68.172401,103000,DR.REDDY
21-10-2020,68,68.599998,67.339996,67.306305,187600,DR.REDDY
22-10-2020,67.489998,68.169998,67.489998,67.505402,194500,DR.REDDY
23-10-2020,67.709999,67.800003,66.910004,66.98774,166000,DR.REDDY
26-10-2020,66.639999,67.199997,66.279999,66.599495,203100,DR.REDDY
27-10-2020,68.059998,68.980003,67.860001,67.714462,224600,DR.REDDY
28-10-2020,65.699997,65.830002,64.449997,64.598526,261300,DR.REDDY
29-10-2020,65.5,66.809998,65.239998,65.93251,176600,DR.REDDY
30-10-2020,65.339996,65.709999,64.379997,64.518883,154400,DR.REDDY
02-11-2020,64.910004,66.110001,64.830002,65.623894,164600,DR.REDDY
03-11-2020,65.769997,66.779999,65.610001,66.171425,261100,DR.REDDY
04-11-2020,67.360001,68.540001,67.150002,67.465584,280000,DR.REDDY
05-11-2020,68,68,67.169998,67.266487,131700,DR.REDDY
